Change;Excluded;Original;en;it
;;"Outfit that feels like raiding a toy chest
and snack stash at once.";"Outfit that feels like raiding a toy chest
and snack stash at once.";"Un outfit che ti fa sentire come se stessi saccheggiando una cassa di giocattoli
e una scorta di snack allo stesso tempo."
;;Laser Tag Suit;Laser Tag Suit;Tuta da laser tag
;;"Full outfit styled like a laser tag uniform,
teleporting you around.";"Full outfit styled like a laser tag uniform,
teleporting you around.";"Completo stile uniforme da laser tag,
che ti teletrasporta in giro."
;;Arcade Armor;Arcade Armor;Armatura arcade
;;"Armor decorated with pixelated arcade sprites
and fake pit traps.";"Armor decorated with pixelated arcade sprites
and fake pit traps.";"Armatura decorata con sprite arcade pixelati
e trappole finte."
;;Arcade Swap Robe;Arcade Swap Robe;Accappatoio arcade
;;"Robe patterned after old-school arcade carpets,
causing random swaps.";"Robe patterned after old-school arcade carpets,
causing random swaps.";"Vestaglia con motivo ispirato ai tappeti delle sale giochi di una volta,
che causava scambi casuali."
;;Sticker Shield;Sticker Shield;Scudo adesivo
;;"Shield with sticker art and patches that
sometimes lets attacks phase through.";"Shield with sticker art and patches that
sometimes lets attacks phase through.";"Scudo con adesivi e toppe che
a volte permettono agli attacchi di passare gradualmente."
;;Garage Band Gear;Garage Band Gear;Attrezzatura da garage band
;;"Bracelets and pins from garage bands,
each with strange powers.";"Bracelets and pins from garage bands,
each with strange powers.";"Braccialetti e spille di band garage,
ognuno con strani poteri."
;;Patchwork Denim;Patchwork Denim;Giaccia di jeans con toppe
;;"Denim jacket with patches that sometimes
flip status effects.";"Denim jacket with patches that sometimes
flip status effects.";"Giacca di jeans con toppe che a volte
ribaltano gli effetti di stato."
;;Buff Swap Tracksuit;Buff Swap Tracksuit;Tuta inverti-potenziamenti
;;"Bright tracksuit that switches buffs and
debuffs during battle.";"Bright tracksuit that switches buffs and
debuffs during battle.";"Tuta luminosa che alterna potenziamenti e
debuff durante la battaglia."
;;Wild Life Robe;Wild Life Robe;Vestaglia della fauna selvatica
;;"Robe that trades your magic costs for
wild life energy.";"Robe that trades your magic costs for
wild life energy.";"Veste che scambia i tuoi costi magici con
l'energia della fauna selvatica."
;;Cartoon Target Glasses;Cartoon Target Glasses;Occhiali da sole cartoon
;;"Glasses that make enemies look like they're
straight out of a cheesy cartoon.";"Glasses that make enemies look like they're
straight out of a cheesy cartoon.";"Occhiali che fanno sembrare i nemici
usciti direttamente da un cartone animato scadente."
;;Arcade Glitch Outfit;Arcade Glitch Outfit;Costume glitchato arcade
;;"Outfit printed with pixelated arcade graphics
that sometimes glitch.";"Outfit printed with pixelated arcade graphics
that sometimes glitch.";"Vestito stampato con grafica arcade pixelata
che a volte presenta dei problemi."
;;Lisa Frank Shirt;Lisa Frank Shirt;Maglietta di Lisa Frank
;;"Shirt decked in repeating Lisa Frank rainbows
stretching infinitely.";"Shirt decked in repeating Lisa Frank rainbows
stretching infinitely.";"Maglietta decorata con gli arcobaleni ripetuti di Lisa Frank
che si estendono all'infinito."
;;Extreme Polygon Vest;Extreme Polygon Vest;Gilet poligonale estremo
;;"Vest that warps your body into jagged, polygonal
extreme sports poses.";"Vest that warps your body into jagged, polygonal
extreme sports poses.";"Gilet che deforma il tuo corpo in pose frastagliate e poligonali
da sport estremi."
;;Sticker Slap Hat;Sticker Slap Hat;Cappello con sticker adesivo
;;"Hat that sometimes covers your face with stickers
of cartoon characters.";"Hat that sometimes covers your face with stickers
of cartoon characters.";"Cappello che a volte ti copre il viso con adesivi
di personaggi dei cartoni animati."
;;Gak Grip Gloves;Gak Grip Gloves;Guanti senza presa
;;"Gloves that feel like they're wrapped in Gak,
slipping through objects.";"Gloves that feel like they're wrapped in Gak,
slipping through objects.";"Guanti che sembrano avvolti nel Gak,
che scivolano attraverso gli oggetti."
;;Blade Shield;Blade Shield;Scudo a lama
;;"Shield made from rollerblade parts and stickers,
defying physics.";"Shield made from rollerblade parts and stickers,
defying physics.";"Scudo realizzato con parti di rollerblade e adesivi,
che sfida la fisica."
;;Walkie-Stat Headset;Walkie-Stat Headset;Auricolare Walkie-Talkie
;;"Headset shaped like a toy walkie-talkie,
showing wrong stats.";"Headset shaped like a toy walkie-talkie,
showing wrong stats.";"Cuffie a forma di walkie-talkie giocattolo,
che mostrano statistiche errate."
;;Power Swap Wristband;Power Swap Wristband;Braccialetto Power Swap
;;"Wristband that scrambles powers like trading
cards at recess.";"Wristband that scrambles powers like trading
cards at recess.";"Un braccialetto che mescola poteri come
carte collezionabili durante la ricreazione."
;;Pog Menu Badge;Pog Menu Badge;Distintivo del menu Pog
;;"Badge made of pogs that changes menu options
when you aren't looking.";"Badge made of pogs that changes menu options
when you aren't looking.";"Badge composto da pog che cambia le opzioni del menu
quando non stai guardando."
;;Virtual Pet Earpiece;Virtual Pet Earpiece;Auricolare per animali domestici virtuali
;;"Earpiece that sounds like tamagotchi cries
and garbled commands.";"Earpiece that sounds like tamagotchi cries
and garbled commands.";"Auricolare che emette suoni simili a quelli di un tamagotchi
e comandi confusi."
;;Prize Machine Items;Prize Machine Items;Articoli della macchina dei premi
;;"Mystery box of items from prize claw machines
and cereal promotions.";"Mystery box of items from prize claw machines
and cereal promotions.";"Scatola misteriosa con articoli provenienti da macchinette a premi
e promozioni sui cereali."
;;Iron-On Slogan Jacket;Iron-On Slogan Jacket;Giacca con slogan termoadesiva
;;"Prototype jacket with slapdash iron-on decals
of random slogans.";"Prototype jacket with slapdash iron-on decals
of random slogans.";"Giacca prototipo con adesivi termoadesivi improvvisati
con slogan casuali."
;;Promo Patchwork Outfit;Promo Patchwork Outfit;Abito patchwork promozionale
;;"Test outfit stitched from old cereal box offers
and fast food toys.";"Test outfit stitched from old cereal box offers
and fast food toys.";"Completo di prova cucito con vecchie scatole di cereali
e giocattoli da fast food."
;;Catchphrase Beanie;Catchphrase Beanie;Berretto con frase ad effetto
;;"Beanie embroidered with random catchphrases
from TV commercials.";"Beanie embroidered with random catchphrases
from TV commercials.";"Berretto ricamato con frasi a caso
di spot televisivi."
;;Skater Shield;Skater Shield;Scudo pattinatore
;;"Shield slapped together from skateboards
and boom boxes.";"Shield slapped together from skateboards
and boom boxes.";"Scudo fatto con skateboard
e stereo portatili."
;;DONOTSHIP Boots;DONOTSHIP Boots;Stivali DONOTSHIP
;;"Boots marked 'REMOVE BEFORE RELEASE' with random 
teleportation.";"Boots marked 'REMOVE BEFORE RELEASE' with random 
teleportation.";"Stivali con la scritta ""RIMUOVERE PRIMA DI RILASCIARE"" con teletrasporto
casuale."
;;Fourth Wall Glitches;Fourth Wall Glitches;Glitch della quarta parete
;;"Equipment with fourth-wall breaking awareness of 
game mechanics.";"Equipment with fourth-wall breaking awareness of 
game mechanics.";"Equipaggiamento con consapevolezza delle
meccaniche di gioco che rompe la quarta parete."
;;Formula Display Shirt;Formula Display Shirt;Maglietta con esposizione della formula
;;"Shirt with constantly changing combat formulas 
visible on it.";"Shirt with constantly changing combat formulas 
visible on it.";"Maglietta con formule di combattimento in continuo cambiamento
visibili."
;;Meta Commentary Hat;Meta Commentary Hat;Cappello da commento meta
;;"Hat that occasionally shows developer comments 
about your actions.";"Hat that occasionally shows developer comments 
about your actions.";"Cappello che occasionalmente mostra commenti degli sviluppatori
sulle tue azioni."
;;Debug Mode Glasses;Debug Mode Glasses;Occhiali in modalità debug
;;"Glasses that sometimes reveal hidden game 
variables and flags.";"Glasses that sometimes reveal hidden game 
variables and flags.";Occhiali che a volte rivelano variabili e segnali di gioco nascosti.
;;Source Code Wristband;Source Code Wristband;Braccialetto con codice sorgente
;;"Wristband showing randomized code that breaks the 
fourth wall.";"Wristband showing randomized code that breaks the 
fourth wall.";"Braccialetto che mostra un codice randomizzato che rompe la
quarta parete."
;;PSI Anti-S Choker;PSI Anti-S Choker;PSI Anti-S Choker
;;Knight's Armaments;Knight's Armaments;Armamenti del Cavaliere
;;Traditional medieval armors for knights and warriors.;Traditional medieval armors for knights and warriors.;"Armature medievali tradizionali per cavalieri e
guerrieri."
;;Knight's Full Plate;Knight's Full Plate;Piatto completo del cavaliere
;;Full plate armor forged for knights of the highest order.;Full plate armor forged for knights of the highest order.;"Armatura completa forgiata per cavalieri del più
alto ordine."
;;Royal Knight's Plate;Royal Knight's Plate;Piatto del Cavaliere Reale
;;Masterfully crafted plate armor with gold accents.;Masterfully crafted plate armor with gold accents.;"Armatura a piastre magistralmente realizzata con
dettagli dorati."
;;Gothic Half-Plate;Gothic Half-Plate;Mezzo piatto gotico
;;Highly protective yet flexible half-plate armor.;Highly protective yet flexible half-plate armor.;"Corazza a mezza piastra altamente protettiva ma
flessibile."
;;Chainmail Hauberk;Chainmail Hauberk;Usbergo di maglia di ferro
;;Flexible armor made of interlocking metal rings.;Flexible armor made of interlocking metal rings.;"Armatura flessibile realizzata con anelli
metallici interconnessi."
;;Reinforced Chainmail;Reinforced Chainmail;Cotta di maglia rinforzata
;;Reinforced chainmail with plates at vital areas.;Reinforced chainmail with plates at vital areas.;"Cotta di maglia rinforzata con piastre nei punti
vitali."
;;Light Chainmail;Light Chainmail;Cotta di maglia leggera
;;Lightweight chainmail favored by swift warriors.;Lightweight chainmail favored by swift warriors.;"Cotta di maglia leggera, preferita dai guerrieri
veloci."
;;Studded Leather Armor;Studded Leather Armor;Armatura in pelle borchiata
;;Hardened leather armor reinforced with metal studs.;Hardened leather armor reinforced with metal studs.;"Armatura in cuoio rinforzato con borchie
metalliche."
;;Boiled Leather Cuirass;Boiled Leather Cuirass;Corazza di cuoio bollito
;;Boiled leather armor offering good protection for its weight.;Boiled leather armor offering good protection for its weight.;"Armatura in cuoio bollito che offre una buona
protezione in rapporto al suo peso."
;;Padded Gambeson;Padded Gambeson;Gambeson imbottito
;;Simple padded armor worn by common soldiers.;Simple padded armor worn by common soldiers.;"Semplice armatura imbottita indossata dai soldati
semplici."
;;Medieval Helmets;Medieval Helmets;Elmi medievali
;;Protective headgear worn by medieval warriors.;Protective headgear worn by medieval warriors.;"Copricapo protettivo indossato dai guerrieri
medievali."
;;Great Helm;Great Helm;Grande Elmo
;;Fully enclosed helmet with narrow eye slits for maximum protection.;Fully enclosed helmet with narrow eye slits for maximum protection.;"Casco completamente chiuso con strette fessure per
gli occhi per la massima protezione."
;;Visored Bascinet;Visored Bascinet;Bacinetto con visiera
;;Elegant helmet with a visor that can be raised.;Elegant helmet with a visor that can be raised.;Elegante casco con visiera sollevabile.
;;Open Sallet;Open Sallet;Celata aperta
;;Open-faced helmet offering good visibility.;Open-faced helmet offering good visibility.;Casco jet che offre un'ottima visibilità.
;;Steel Kettle Hat;Steel Kettle Hat;Cappello da bollitore d'acciaio
;;Simple metal cap offering basic head protection.;Simple metal cap offering basic head protection.;"Semplice cappuccio metallico che offre una
protezione di base per la testa."
;;Padded Arming Cap;Padded Arming Cap;Cappuccio imbottito
;;Padded cap worn under helmets or as light protection.;Padded cap worn under helmets or as light protection.;"Berretto imbottito da indossare sotto il casco o
come protezione leggera."
;;Medieval Shields;Medieval Shields;Scudi medievali
;;Protective shields used by medieval warriors.;Protective shields used by medieval warriors.;"Scudi protettivi utilizzati dai guerrieri
medievali."
;;Tower Shield;Tower Shield;Scudo della torre
;;Massive shield providing excellent protection at the cost of mobility.;Massive shield providing excellent protection at the cost of mobility.;"Scudo massiccio che garantisce un'eccellente
protezione a scapito della mobilità."
;;Knight's Heater Shield;Knight's Heater Shield;Scudo riscaldante del cavaliere
;;Classic heater-shaped shield used by knights.;Classic heater-shaped shield used by knights.;"Classico scudo a forma di calotta utilizzato dai
cavalieri."
;;Round Shield;Round Shield;Scudo rotondo
;;Round shield offering balanced protection and mobility.;Round shield offering balanced protection and mobility.;"Scudo rotondo che offre protezione e mobilità
equilibrate."
;;Buckler;Buckler;Scudo
;;Small shield strapped to the forearm, allowing weapon use in the shield hand.;Small shield strapped to the forearm, allowing weapon use in the shield hand.;Piccolo scudo fissato all'avambraccio, che consente di usare l'arma nella mano che impugna lo scudo.
;;Mage's Vestments;Mage's Vestments;Vesti del mago
;;Specialized armor worn by those with magical abilities.;Specialized armor worn by those with magical abilities.;"Armatura specializzata indossata da chi possiede
abilità magiche."
;;Archmagister's Robes;Archmagister's Robes;Vesti dell'Arcimagistro
;;Opulent robes infused with magical energies.;Opulent robes infused with magical energies.;Abiti opulenti permeati di energie magiche.
;;Enchanter's Robes;Enchanter's Robes;Vesti dell'Incantatore
;;Enchanted robes that enhance magical abilities.;Enchanted robes that enhance magical abilities.;Abiti incantati che potenziano le abilità magiche.
;;Apprentice Robes;Apprentice Robes;Abiti da apprendista
;;Basic robes worn by apprentice mages.;Basic robes worn by apprentice mages.;Abiti base indossati dagli apprendisti maghi.
;;Magister's Circlet;Magister's Circlet;Cerchietto del Magister
;;Ornate headpiece enhancing magical focus.;Ornate headpiece enhancing magical focus.;"Copricapo decorato che esalta la concentrazione
magica."
;;Scholar's Cap;Scholar's Cap;Berretto da studioso
;;Scholarly cap worn by mages and academics.;Scholarly cap worn by mages and academics.;"Copricapo accademico indossato da maghi e
accademici."
;;Blessed Armor;Blessed Armor;Armatura Benedetta
;;Armor of religious significance worn by holy warriors.;Armor of religious significance worn by holy warriors.;"Armatura di significato religioso indossata dai
guerrieri sacri."
;;Templar's Plate;Templar's Plate;Piatto del Templare
;;Gleaming armor blessed by the highest clerics.;Gleaming armor blessed by the highest clerics.;"Armatura scintillante benedetta dai più alti
chierici."
;;Blessed Chainmail;Blessed Chainmail;Cotta di maglia benedetta
;;Chainmail blessed to protect against unholy forces.;Chainmail blessed to protect against unholy forces.;"Cotta di maglia benedetta per proteggere dalle
forze maligne."
;;High Cleric's Vestments;High Cleric's Vestments;Paramenti del Sommo Chierico
;;Ceremonial robes worn by high clerics.;Ceremonial robes worn by high clerics.;"Abiti cerimoniali indossati dagli alti
ecclesiastici."
;;Templar Shield;Templar Shield;Scudo Templare
;;Shield emblazoned with holy symbols.;Shield emblazoned with holy symbols.;Scudo decorato con simboli sacri.
;;Ranger's Equipment;Ranger's Equipment;Equipaggiamento del Ranger
;;Specialized gear for archers and rangers.;Specialized gear for archers and rangers.;Attrezzatura specializzata per arcieri e ranger.
;;Master Archer's Leathers;Master Archer's Leathers;Calzari da arciere maestro
;;Flexible leather armor favored by master archers.;Flexible leather armor favored by master archers.;"Armatura di cuoio flessibile, preferita dai
maestri arcieri."
;;Forest Ranger's Garb;Forest Ranger's Garb;Abito da guardia forestale
;;Light woodland armor for stealth and mobility.;Light woodland armor for stealth and mobility.;"Armatura leggera da bosco per furtività e
mobilità."
;;Archer's Gloves;Archer's Gloves;Guanti da arciere
;;Special gloves that improve archery accuracy.;Special gloves that improve archery accuracy.;"Guanti speciali che migliorano la precisione nel
tiro con l'arco."
;;Archer's Bracer;Archer's Bracer;Bracciale dell'arciere
;;Protective bracer for the bow arm.;Protective bracer for the bow arm.;Parabraccio protettivo per il braccio dell'arco.
;;Ranger's Cloak;Ranger's Cloak;Mantello del Ranger
;;Hooded cloak that helps conceal the wearer.;Hooded cloak that helps conceal the wearer.;"Mantello con cappuccio che aiuta a nascondere chi
lo indossa."
;;Assassin's Gear;Assassin's Gear;Equipaggiamento dell'assassino
;;Armor worn by stealthy assassins and thieves.;Armor worn by stealthy assassins and thieves.;Armatura indossata da ladri e assassini furtivi.
;;Shadow Guild Leathers;Shadow Guild Leathers;Pelle della Gilda Ombra
;;Darkened leather armor designed for stealth operations.;Darkened leather armor designed for stealth operations.;"Armatura in cuoio oscurato progettata per
operazioni furtive."
;;Nightstalker's Garb;Nightstalker's Garb;Abito del cacciatore notturno
;;Tight-fitting garb that minimizes noise.;Tight-fitting garb that minimizes noise.;Abito attillato che riduce al minimo il rumore.
;;Assassin's Cowl;Assassin's Cowl;Cappuccio dell'assassino
;;Mask that conceals identity and muffles breathing.;Mask that conceals identity and muffles breathing.;"Maschera che nasconde l'identità e attutisce la
respirazione."
;;Silent Step Boots;Silent Step Boots;Stivali Silent Step
;;Specially designed boots for silent movement.;Specially designed boots for silent movement.;"Stivali appositamente progettati per movimenti
silenziosi."
;;Noble Attire;Noble Attire;Abito nobile
;;Royal garments offering moderate protection and high status.;Royal garments offering moderate protection and high status.;"Abiti regali che offrono una protezione moderata e
uno status elevato."
;;Royal Battle Regalia;Royal Battle Regalia;Royal Battle Regalia
;;Ceremonial armor worn by kings in battle.;Ceremonial armor worn by kings in battle.;"Armatura cerimoniale indossata dai re in
battaglia."
;;Noble's Finery;Noble's Finery;Abiti eleganti da nobile
;;Luxurious clothing worn by nobility.;Luxurious clothing worn by nobility.;Abiti lussuosi indossati dalla nobiltà.
;;Royal Crown;Royal Crown;Corona reale
;;Elegant crown symbolizing royal authority.;Elegant crown symbolizing royal authority.;Elegante corona che simboleggia l'autorità reale.
;;Noble's Cape;Noble's Cape;Mantello del Nobile
;;Ceremonial cape denoting noble status.;Ceremonial cape denoting noble status.;"Mantello cerimoniale che denota uno status
nobiliare."
;;Legendary Armaments;Legendary Armaments;Armamenti leggendari
;;Armor crafted from rare and mythical materials.;Armor crafted from rare and mythical materials.;Armatura realizzata con materiali rari e mitici.
;;Dragonscale Plate;Dragonscale Plate;Piatto di scaglie di drago
;;Legendary armor forged from dragon scales.;Legendary armor forged from dragon scales.;"Armatura leggendaria forgiata con scaglie di
drago."
;;Elven Silverweave;Elven Silverweave;Tessitura argentea elfica
;;Enchanted armor that moves with the wearer like a second skin.;Enchanted armor that moves with the wearer like a second skin.;"Un'armatura incantata che si adatta ai movimenti
di chi la indossa, come una seconda pelle."
;;Celestial Archmage Robes;Celestial Archmage Robes;Vesti dell'Arcimago Celeste
;;Mystical robes woven with cosmic energies.;Mystical robes woven with cosmic energies.;Vesti mistiche intessute di energie cosmiche.
;;Aegis of the Ancients;Aegis of the Ancients;Egida degli Antichi
;;Legendary shield that can deflect even the mightiest blows.;Legendary shield that can deflect even the mightiest blows.;"Scudo leggendario in grado di deviare anche i
colpi più potenti."
;;Helm of the War God;Helm of the War God;Elmo del Dio della Guerra
;;Helmet said to have been worn by a god of war.;Helmet said to have been worn by a god of war.;"Elmo che si dice fosse indossato da un dio della
guerra."
;;Commoner's Garb;Commoner's Garb;Abito del popolano
;;Simple clothing worn by common folk in medieval times.;Simple clothing worn by common folk in medieval times.;"Abiti semplici indossati dalla gente comune nel
medioevo."
;;Peasant's Tunic;Peasant's Tunic;Tunica del contadino
;;Simple tunic worn by peasants and commoners.;Simple tunic worn by peasants and commoners.;"Semplice tunica indossata dai contadini e dalla
gente comune."
;;Mages Guild Witch Hat;Mages Guild Witch Hat;Cappello da strega della Gilda dei Maghi
;;"Officlal hat for witches members of the
Mages Guild";"Officlal hat for witches members of the
Mages Guild";"Cappello ufficiale per le streghe membri della
Gilda dei Maghi"
;;Mages Guild Rones;Mages Guild Rones;Rones della Gilda dei Maghi
;;Official robes of the Mages Guild;Official robes of the Mages Guild;Vesti ufficiali della Gilda dei Maghi
;;Tactical Operations Gear;Tactical Operations Gear;Equipaggiamento per operazioni tattiche
;;Advanced tactical gear for modern urban combat scenarios.;Advanced tactical gear for modern urban combat scenarios.;Equipaggiamento tattico avanzato per scenari di combattimento urbano moderni.
;;Ceramic Plate Carrier;Ceramic Plate Carrier;Portapiatti in ceramica
;;Military-grade body armor with ceramic trauma plates.;Military-grade body armor with ceramic trauma plates.;Giubbotto antiproiettile di tipo militare con piastre antitrauma in ceramica.
;;Combat Environmental Suit;Combat Environmental Suit;Tuta da combattimento ambientale
;;Full combat suit with integrated life support systems.;Full combat suit with integrated life support systems.;Tuta da combattimento completa con sistemi di supporto vitale integrati.
;;Spec Ops Polymer Vest;Spec Ops Polymer Vest;Giubbotto in polimero Spec Ops
;;Lightweight polymer armor favored by special forces.;Lightweight polymer armor favored by special forces.;Corazza leggera in polimero, preferita dalle forze speciali.
;;Radiation Protection Suit;Radiation Protection Suit;Tuta di protezione dalle radiazioni
;;Advanced hazmat suit with radiation shielding.;Advanced hazmat suit with radiation shielding.;Tuta avanzata anti-contaminazione con schermatura antiradiazioni.
;;Tactical Headgear Systems;Tactical Headgear Systems;Sistemi di copricapo tattici
;;Specialized headgear for tactical operations.;Specialized headgear for tactical operations.;Copricapo specializzato per operazioni tattiche.
;;HUD Combat Helmet;HUD Combat Helmet;Casco da combattimento HUD
;;Advanced combat helmet with integrated HUD display.;Advanced combat helmet with integrated HUD display.;Casco da combattimento avanzato con display HUD integrato.
;;Night Vision Tactical Helmet;Night Vision Tactical Helmet;Casco tattico per la visione notturna
;;Lightweight tactical helmet with night vision mount.;Lightweight tactical helmet with night vision mount.;Casco tattico leggero con supporto per visione notturna.
;;Environmental Protection Helmet;Environmental Protection Helmet;Casco di protezione ambientale
;;Protective headgear for hazardous environments.;Protective headgear for hazardous environments.;Copricapo protettivo per ambienti pericolosi.
;;Riot Control Equipment;Riot Control Equipment;Attrezzature antisommossa
;;Protective shields for riot control and crowd management.;Protective shields for riot control and crowd management.;Scudi protettivi per il controllo delle rivolte e la gestione della folla.
;;Riot Control Shield;Riot Control Shield;Scudo antisommossa
;;Transparent polycarbonate shield for crowd control.;Transparent polycarbonate shield for crowd control.;Schermo in policarbonato trasparente per il controllo della folla.
;;Electroshock Riot Shield;Electroshock Riot Shield;Scudo antisommossa elettroshock
;;Electrified shield that deters attackers with non-lethal shock.;Electrified shield that deters attackers with non-lethal shock.;Scudo elettrificato che scoraggia gli aggressori con una scarica non letale.
;;Medical Protection Gear;Medical Protection Gear;Dispositivi di protezione medica
;;Specialized protective gear for medical personnel.;Specialized protective gear for medical personnel.;Dispositivi di protezione specializzati per il personale medico.
;;Medical Hazmat Suit;Medical Hazmat Suit;Tuta medica anti-contaminazione
;;Sterile protective suit for medical emergencies.;Sterile protective suit for medical emergencies.;Tuta protettiva sterile per emergenze mediche.
;;Medical Grade Respirator;Medical Grade Respirator;Respiratore di grado medico
;;Surgical mask with advanced filtration system.;Surgical mask with advanced filtration system.;Mascherina chirurgica con sistema di filtrazione avanzato.
;;Ceremonial State Armor;Ceremonial State Armor;Armatura cerimoniale di stato
;;Ceremonial armor worn during important state functions.;Ceremonial armor worn during important state functions.;Armatura cerimoniale indossata durante importanti funzioni statali.
;;Diplomatic Dress Uniform;Diplomatic Dress Uniform;Uniforme diplomatica
;;Ornate dress uniform worn by high-ranking officials.;Ornate dress uniform worn by high-ranking officials.;Uniforme da cerimonia decorata indossata dagli alti funzionari.
;;Military Dress Uniform;Military Dress Uniform;uniforme militare
;;Formal military dress with ceremonial decorations.;Formal military dress with ceremonial decorations.;Abito militare formale con decorazioni cerimoniali.
;;Extreme Weather Gear;Extreme Weather Gear;Attrezzatura per condizioni meteorologiche estreme
;;Environmental suits for extreme weather conditions.;Environmental suits for extreme weather conditions.;Tute ambientali per condizioni meteorologiche estreme.
;;Arctic Research Suit;Arctic Research Suit;Tuta da ricerca artica
;;Insulated suit designed for arctic exploration.;Insulated suit designed for arctic exploration.;Tuta isolante progettata per l'esplorazione artica.
;;Volcanic Research Suit;Volcanic Research Suit;Tuta per la ricerca vulcanica
;;Heat-resistant suit for volcanic research.;Heat-resistant suit for volcanic research.;Tuta resistente al calore per la ricerca vulcanica.
;;Deep Sea Equipment;Deep Sea Equipment;Attrezzatura per le profondità marine
;;Specialized clothing for deep sea exploration.;Specialized clothing for deep sea exploration.;Abbigliamento specializzato per l'esplorazione delle profondità marine.
;;Deep Sea Pressure Suit;Deep Sea Pressure Suit;Tuta pressurizzata per acque profonde
;;Pressurized diving suit for extreme depths.;Pressurized diving suit for extreme depths.;Muta da sub pressurizzata per profondità estreme.
;;Atmospheric Dive Suit;Atmospheric Dive Suit;Muta da immersione atmosferica
;;Atmospheric diving suit with robotic arm assists.;Atmospheric diving suit with robotic arm assists.;Tuta subacquea atmosferica con braccio robotico.
;;Space Exploration Gear;Space Exploration Gear;Attrezzatura per l'esplorazione spaziale
;;Space-grade protective equipment for zero gravity.;Space-grade protective equipment for zero gravity.;Dispositivi di protezione di livello spaziale per l'assenza di gravità.
;;EVA Space Suit;EVA Space Suit;Tuta spaziale EVA
;;Full environmental space suit with life support.;Full environmental space suit with life support.;Tuta spaziale completamente ecologica con supporto vitale.
;;Space Helmet;Space Helmet;Casco spaziale
;;Pressurized helmet with integrated communication systems.;Pressurized helmet with integrated communication systems.;Casco pressurizzato con sistemi di comunicazione integrati.
;;Spelunking Equipment;Spelunking Equipment;Attrezzatura per la speleologia
;;Specialized gear for underground exploration.;Specialized gear for underground exploration.;Attrezzatura specializzata per l'esplorazione sotterranea.
;;Cave Explorer Suit;Cave Explorer Suit;Tuta da esploratore di grotte
;;Reinforced coveralls for cave exploration.;Reinforced coveralls for cave exploration.;Tuta rinforzata per l'esplorazione delle grotte.
;;Mining Helmet with Light;Mining Helmet with Light;Casco da minatore con luce
;;Mining helmet with powerful LED lighting system.;Mining helmet with powerful LED lighting system.;Casco da minatore con potente sistema di illuminazione a LED.
;;Industrial Safety Gear;Industrial Safety Gear;Dispositivi di sicurezza industriale
;;Protective gear for industrial workers.;Protective gear for industrial workers.;Dispositivi di protezione per i lavoratori industriali.
;;High-Vis Safety Vest;High-Vis Safety Vest;Giubbotto di sicurezza ad alta visibilità
;;High-visibility safety vest with reflective strips.;High-visibility safety vest with reflective strips.;Giubbotto di sicurezza ad alta visibilità con strisce riflettenti.
;;Steel-Toe Work Boots;Steel-Toe Work Boots;Stivali da lavoro con punta in acciaio
;;Steel-toed boots for construction work.;Steel-toed boots for construction work.;Stivali con punta in acciaio per lavori edili.
;;Firefighting Equipment;Firefighting Equipment;Attrezzature antincendio
;;Specialized equipment for firefighting operations.;Specialized equipment for firefighting operations.;Attrezzature specializzate per operazioni antincendio.
;;Structural Fire Suit;Structural Fire Suit;Tuta antincendio strutturale
;;Heat-resistant suit for structural firefighting.;Heat-resistant suit for structural firefighting.;Tuta resistente al calore per la lotta antincendio strutturale.
;;Proximity Fire Suit;Proximity Fire Suit;Tuta antincendio di prossimità
;;Reflective suit for proximity to extreme heat sources.;Reflective suit for proximity to extreme heat sources.;Tuta riflettente per la vicinanza a fonti di calore estremo.
;;SCBA Fire Helmet;SCBA Fire Helmet;Casco antincendio SCBA
;;Self-contained breathing apparatus for smoke environments.;Self-contained breathing apparatus for smoke environments.;Autorespiratore per ambienti con presenza di fumo.
;;Law Enforcement Gear;Law Enforcement Gear;Attrezzatura per le forze dell'ordine
;;Protective gear for law enforcement officers.;Protective gear for law enforcement officers.;Equipaggiamento protettivo per gli agenti delle forze dell'ordine.
;;Police Bulletproof Vest;Police Bulletproof Vest;Giubbotto antiproiettile della polizia
;;Bulletproof vest with trauma plate inserts.;Bulletproof vest with trauma plate inserts.;Giubbotto antiproiettile con inserti antitrauma.
;;Police Riot Gear;Police Riot Gear;Equipaggiamento antisommossa della polizia
;;Full riot gear with face shield and padding.;Full riot gear with face shield and padding.;Attrezzatura antisommossa completa con visiera e imbottitura.
;;Extreme Sports Gear;Extreme Sports Gear;Attrezzatura per sport estremi
;;Specialized clothing for extreme sports enthusiasts.;Specialized clothing for extreme sports enthusiasts.;Abbigliamento specializzato per gli amanti degli sport estremi.
;;Base Jumping Suit;Base Jumping Suit;Tuta da base jumping
;;Padded suit for base jumping and wingsuit flying.;Padded suit for base jumping and wingsuit flying.;Tuta imbottita per base jumping e volo con tuta alare.
;;Racing Leathers;Racing Leathers;Tuta da corsa
;;Reinforced motorcycle racing leathers.;Reinforced motorcycle racing leathers.;Tuta in pelle rinforzata per moto da corsa.
;;Martial Arts Training Gear;Martial Arts Training Gear;Attrezzatura per l'allenamento di arti marziali
;;Traditional martial arts training equipment.;Traditional martial arts training equipment.;Attrezzatura per l'allenamento nelle arti marziali tradizionali.
;;Karate Gi;Karate Gi;Karate Gi
;;Traditional karate gi for training and competition.;Traditional karate gi for training and competition.;Gi da karate tradizionale per allenamento e competizione.
